This file contains the integrated total and net fluxes at each interface resp. layer. 
Fluxes given in [erg s^-1 cm^-2].
interface press.[10^-6bar] F_down F_up F_net F_dir delta_F_net F_net_conv F_add_heat F_intern
13 1.53992652605949179e+06 1.63390349041404738e+06 1.85453286869482440e+06 2.20629378280777019e+05 0.00000000000000000e+00 -1.19122282893983647e+04 7.93706217289805063e+04 0.00000000000000000e+00
14 1.33352143216332421e+06 1.36237308179397252e+06 1.59491468836992630e+06 2.32541606575953774e+05 0.00000000000000000e+00 -1.26912144057818223e+04 6.74583934338037507e+04 0.00000000000000000e+00
15 1.15478198468945827e+06 1.13040499681663187e+06 1.37563781781865563e+06 2.45232821002023760e+05 0.00000000000000000e+00 -1.33277447262861533e+04 5.47671790077337646e+04 0.00000000000000000e+00
16 9.99999999999999884e+05 9.32014292530437000e+05 1.19057485827482888e+06 2.58560565744391875e+05 0.00000000000000000e+00 -1.34367511000917293e+04 4.14394342653656495e+04 0.00000000000000000e+00
17 8.65964323360065464e+05 7.62540904430852621e+05 1.03453822128484142e+06 2.71997316853988799e+05 0.00000000000000000e+00 -1.24423407031657407e+04 2.80026831557687256e+04 0.00000000000000000e+00
18 7.49894209332455765e+05 6.18700953799848212e+05 9.03140611372995656e+05 2.84439657573147444e+05 0.00000000000000000e+00 -9.76145503313303925e+03 1.55603424366100808e+04 0.00000000000000000e+00
19 6.49381631576211425e+05 4.98413830995710741e+05 7.92614943611875759e+05 2.94201112616165017e+05 0.00000000000000000e+00 -5.29736057229910512e+03 5.79888739359250758e+03 0.00000000000000000e+00
20 5.62341325190349133e+05 4.00282288761354925e+05 6.99780761947457446e+05 2.99498473186102521e+05 0.00000000000000000e+00 -5.01525233165419195e+02 5.01526823655003682e+02 0.00000000000000000e+00
21 4.86967525165863044e+05 3.22373720179432770e+05 6.22373718602146604e+05 2.99999998422713834e+05 0.00000000000000000e+00 4.03782934881746769e-04 1.58704369096085429e-03 0.00000000000000000e+00
22 4.21696503428582335e+05 2.59782357711914956e+05 5.59782355782698141e+05 2.99999998070783215e+05 0.00000000000000000e+00 3.14978475216776133e-04 0.00000000000000000e+00 0.00000000000000000e+00
23 3.65174127254837716e+05 2.09343401223117835e+05 5.09343398997244833e+05 2.99999997774126998e+05 0.00000000000000000e+00 1.96187174879014492e-04 0.00000000000000000e+00 0.00000000000000000e+00
24 3.16227766016837966e+05 1.68696822050744668e+05 4.68696819608503080e+05 2.99999997557758412e+05 0.00000000000000000e+00 1.37026479933410883e-04 0.00000000000000000e+00 0.00000000000000000e+00
25 2.73841963426436123e+05 1.35943509392540815e+05 4.35943506785556441e+05 2.99999997393015656e+05 0.00000000000000000e+00 7.55775836296379566e-05 0.00000000000000000e+00 0.00000000000000000e+00
26 2.37137370566165511e+05 1.09548313872149825e+05 4.09548311183517508e+05 2.99999997311367653e+05 0.00000000000000000e+00 5.42049529030919075e-05 0.00000000000000000e+00 0.00000000000000000e+00
27 2.05352502645714558e+05 8.82789993141235464e+04 3.88278996563647524e+05 2.99999997249523993e+05 0.00000000000000000e+00 3.15092038363218307e-05 0.00000000000000000e+00 0.00000000000000000e+00
28 1.77827941003892367e+05 7.11386528812270699e+04 3.71138650102455344e+05 2.99999997221228259e+05 0.00000000000000000e+00 2.49305739998817444e-05 0.00000000000000000e+00 0.00000000000000000e+00
29 1.53992652605949261e+05 5.73265746530315300e+04 3.57326571849703672e+05 2.99999997196672135e+05 0.00000000000000000e+00 2.06094118766486645e-05 0.00000000000000000e+00 0.00000000000000000e+00
30 1.33352143216332421e+05 4.61962814092408080e+04 3.46196278582910541e+05 2.99999997173669748e+05 0.00000000000000000e+00 1.74902379512786865e-05 0.00000000000000000e+00 0.00000000000000000e+00
31 1.15478198468945819e+05 3.72267458936665062e+04 3.37226743046540185e+05 2.99999997152873664e+05 0.00000000000000000e+00 1.41723430715501308e-05 0.00000000000000000e+00 0.00000000000000000e+00
32 9.99999999999999854e+04 2.99990365691830739e+04 3.29999033704756584e+05 2.99999997135573532e+05 0.00000000000000000e+00 1.05984508991241455e-05 0.00000000000000000e+00 0.00000000000000000e+00
33 8.65964323360065755e+04 2.41743465842698424e+04 3.24174343709917855e+05 2.99999997125648020e+05 0.00000000000000000e+00 1.12143461592495441e-05 0.00000000000000000e+00 0.00000000000000000e+00
34 7.49894209332456085e+04 1.94807846782513443e+04 3.19480781789895205e+05 2.99999997111643839e+05 0.00000000000000000e+00 9.42085171118378639e-06 0.00000000000000000e+00 0.00000000000000000e+00
35 6.49381631576211366e+04 1.56983851052928821e+04 3.15698382204737223e+05 2.99999997099444328e+05 0.00000000000000000e+00 6.85884151607751846e-06 0.00000000000000000e+00 0.00000000000000000e+00
36 5.62341325190349089e+04 1.26504190383878868e+04 3.12650416130135942e+05 2.99999997091748053e+05 0.00000000000000000e+00 5.29951648786664009e-06 0.00000000000000000e+00 0.00000000000000000e+00
37 4.86967525165863044e+04 1.01942640295198817e+04 3.10194261114963796e+05 2.99999997085443931e+05 0.00000000000000000e+00 4.47203638032078743e-06 0.00000000000000000e+00 0.00000000000000000e+00
38 4.21696503428582437e+04 8.21492355126739676e+03 3.08214920631118992e+05 2.99999997079851571e+05 0.00000000000000000e+00 3.58599936589598656e-06 0.00000000000000000e+00 0.00000000000000000e+00
39 3.65174127254837804e+04 6.61996674319210524e+03 3.06619963818419143e+05 2.99999997075227031e+05 0.00000000000000000e+00 2.08907295018434525e-06 0.00000000000000000e+00 0.00000000000000000e+00
40 3.16227766016837995e+04 5.33461369600021590e+03 3.05334610768711369e+05 2.99999997072711179e+05 0.00000000000000000e+00 1.12969428300857544e-06 0.00000000000000000e+00 0.00000000000000000e+00
41 2.73841963426436123e+04 4.29886664058087717e+03 3.04298863712125923e+05 2.99999997071545047e+05 0.00000000000000000e+00 1.66223617270588875e-06 0.00000000000000000e+00 0.00000000000000000e+00
42 2.37137370566165482e+04 3.46419438390585037e+03 3.03464191453414096e+05 2.99999997069508245e+05 0.00000000000000000e+00 1.49698462337255478e-06 0.00000000000000000e+00 0.00000000000000000e+00
